text,label,template_id
loved your recent amazon order? reorder in 1 tap and get 60% off today.,Promo,Promo_22
294938 is your Axis Bank security code. Anyone asking for it is a scammer.,OTP,OTP_9
  You have 4372 reward points expiring on 04 Jul. Redeem on Myntra.,Promo,Promo_20
Your Swiggy membership expires soon. Renew now & save 60%: bit.ly/XIglcX,Promo,Promo_9
Cheque no. 942520869986 for Rs.25730 has been cleared from A/c XX8004. -PNB,Bank,Bank_8
OTP FOR DELIVERY OF ORDER OD6282986266 IS 7548. SHARE ONLY WITH THE DELIVERY AGENT. -DTDC,Delivery,Delivery_9
Enter 33069 to verify your mobile number for SBI,OTP,OTP_10
Your order OD2805442809 from Zomato is arriving tomorrow. Keep Rs.1119 ready for COD.,Delivery,Delivery_3
Your  FD of Rs.46658 matures on 21-04-26. Renew or withdraw via netbanking. -ICICI Bank,Bank,Bank_14
120021 IS YOUR OTP FOR UBER LOGIN. VALID FOR 2 MINUTES. DO NOT SHARE WITH ANYONE.,OTP,OTP_0
weekend special at swiggy! min 60% off on everything. don't miss out: bit.ly/geamus,Promo,Promo_6
SALARY OF RS.30761 CREDITED TO A/C XX7565. AVL BAL: RS.475051. -BOB,Bank,Bank_7
Low  balance alert: A/c XX2274 balance is Rs.285982. Maintain min balance to avoid charges.,Bank,Bank_10
OTP: 306492 for txn of Rs.17120 at BOB. Do not share. -HDFC Bank -TM,OTP,OTP_2
OTP FOR DELIVERY OF ORDER OD9053768087 IS 6161. SHARE ONLY WITH THE DELIVERY AGENT. -EKART,Delivery,Delivery_9
Delivery attempt failed for order OD1421463822. We will retry tomorrow. -XpressBees,Delivery,Delivery_5
Interest of INR 19512 credited to your FD A/c XX3100. -HDFC Bank,Bank,Bank_9
MEGA SALE! Get 40% OFF on all products at Myntra. Shop now: bit.ly/nExPQy T&C apply.,Promo,Promo_0
Last day! Myntra clearance sale ends tonight. Up to 40% off sitewide.,Promo,Promo_8
Your order OD7889217417 from Myntra is arriving tomorrow. Keep Rs.4857 ready for COD. T&C apply,Delivery,Delivery_3
Interest of Rs.8990 credited to your FD A/c XX3731. -HDFC Bank,Bank,Bank_9
alert: rs.37133 withdrawn from atm using card xx4094 on 06-02-26. bal: rs.338511. -bob,Bank,Bank_3
Use  662775 to complete your Swiggy registration. Valid till 30 mins.,OTP,OTP_4
"Class shifted to room 5764, come fast",Personal,Hard_6
Work from home! Earn Rs.1656816/month. Join: bit.ly/UgxUPH,Spam,Hard_14
Dear customer ur ICICI Bank account will be blocked! Update KYC now: bit.ly/LWiXQk,Spam,Hard_11
Tap to verify: 988156. This code expires shortly.,OTP,Hard_9
Beware of fraud calls asking for card details. Kotak officials never ask for PIN or CVV.,Bank,Bank_15
Congratulations! You won Rs.1380472 in lucky draw. Claim: bit.ly/pmiMan,Spam,Hard_12
Dear customer ur SBI account will be blocked! Update KYC now: bit.ly/rLgvNv STOP to opt out,Spam,Hard_11
Order OD8729009766 packed and ready! Expected dispatch by 03 Jul. -Meesho,Delivery,Delivery_8
ALERT: Rs.8688 withdrawn from ATM using card XX6733 on 08-02-26. Bal: Rs.214702. -SBI,Bank,Bank_3
177588 is your myntra security code. anyone asking for it is a scammer.,OTP,OTP_9
Your account statement for July is available. Download from the ICICI Bank app. T&C apply,Bank,Bank_16
Your FD of INR 34623 matures on 28-04-26. Renew or withdraw via netbanking. -Axis Bank,Bank,Bank_14
Rs.216 cashback credited to your Paytm wallet. Use on your next order.,Promo,Promo_21
Pre-approved! Get a Kotak credit card with Rs.110033 limit. Zero joining fee. Apply: bit.ly/GpiEoA,Promo,Promo_14
Your  SIM will be deactivated in 24hrs. Verify Aadhaar: bit.ly/fVbkZA,Spam,Hard_13
Delivery attempt failed for order OD3982280605. We will retry tomorrow. -DTDC,Delivery,Delivery_5
XpressBees: Shipment OD7451399430 reached your city hub. Expected delivery: 02 Jul.,Delivery,Delivery_4
Dear customer ur HDFC Bank account will be blocked! Update KYC now: bit.ly/lSzOMN,Spam,Hard_11
Ur OTP is 124231. Use it to verify ur Kotak account. Expires in 10 min.,OTP,OTP_1
Dear customer ur Kotak account will be blocked! Update KYC now: bitly/GSZPau,Spam,Hard_11
Your PNB debit card XX7943 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock. T&C apply,Bank,Bank_11
Auto-pay of Rs.5108 to Ansh is scheduled on 05-02-26 from A/c XX3193. Ensure sufficient balance.,Bank,Bank_13
your icici bank code: 310020,OTP,OTP_8
Your  OTP is 540331. Use it to verify your PNB account. Expires in 15 min.,OTP,OTP_1
Enter 429945 to verify your mobile number for ICICI Bank.,OTP,OTP_10
Pay Rs.3147 on delivery for order OD521303107. -BlueDart,Delivery,Hard_10
Zomato: Free delivery all weekend! Order your favourites now,Promo,Promo_13
"Never  share your OTP, PIN or CVV. SBI never asks for these. Stay safe.",Bank,Hard_3
You have 2399 reward points expiring on 01 Jul. Redeem on Zomato.,Promo,Promo_20
Out for delivery: Your Meesho package OD6734187837 will arrive today by 12 PM. -Ekart,Delivery,Delivery_1
Out for delivery: Your Meesho package OD2193398513 will arrive today by 3 PM. -DTDC T&C apply,Delivery,Delivery_1
Your Zomato code: 492193,OTP,OTP_8
Exclusive for you! Buy 1 Get 1 FREE at Flipkart. Limited period offer. Visit bit.ly/Qjzwwn,Promo,Promo_3
Coupon 3664 gives you free delivery on orders above Rs.3493. -Myntra,Promo,Hard_1
Your Paytm code: 625452,OTP,OTP_8
"Never share your OTP, PIN or CVV. ICICI Bank never asks for these. Stay safe.",Bank,Hard_3
OTP-based login was enabled for your A/c XX5645. Call Axis Bank if this wasn't you.,Bank,Hard_2
Rs.1937 cashback credited to your Amazon Pay wallet. Use on your next order. -TM,Promo,Promo_21
CONVERT YOUR SBI CARD PURCHASE OF RS.1135 INTO EASY EMIS AT 0% INTEREST. REPLY YES.,Promo,Promo_15
Delivered!  Your Meesho order OD8656444976 was delivered on 05 Jul. Rate your experience: bit.ly/tTIJUG,Delivery,Delivery_2
G-658178 is your Google verification code.,OTP,OTP_12
Netflix: 608073 is ur login OTP. It expires in 2 minutes.,OTP,OTP_6
YOUR OTP IS 165015. USE IT TO VERIFY YOUR GPAY ACCOUNT. EXPIRES IN 10 MIN.,OTP,OTP_1
rs.52903 debited from a/c xx2320 on 06-03-26 to rayaan. avl bal: rs.266168. -bob,Bank,Bank_0
PRE-APPROVED! GET A HDFC BANK CREDIT CARD WITH RS.454280 LIMIT. ZERO JOINING FEE. APPLY: BIT.LY/CWDQUT,Promo,Promo_14
Your Vi pack expires tomorrow. Recharge with Rs.548 for 3GB/day + unlimited calls.,Promo,Promo_10
USE CODE 4482 AT CHECKOUT FOR 25% OFF AT ZOMATO!,Promo,Hard_0
  Your OTP is 230288. Use it to verify your Myntra account. Expires in 30 min.,OTP,OTP_1
  Adya from BlueDart is arriving with your package. Contact: +917073667927,Delivery,Delivery_6
Auto-pay  of Rs.12276 to Gavin is scheduled on 16-06-26 from A/c XX6577. Ensure sufficient balance.,Bank,Bank_13
Flat INR 250 cashback on your next order at Amazon. Use code SAVE80. Valid till 02 Jul.,Promo,Promo_2
Anamika from Delhivery is arriving with your package. Contact: 1458336135 T&C apply,Delivery,Delivery_6
"Ur Axis Bank health insurance renewal is due 02 Jul. Renew online, save 50% on premium.",Promo,Promo_24
Items in your order history are back in stock at Zomato. Prices start Rs.930. T&C apply,Promo,Promo_23
your sbi debit card xx2643 has been blocked due to suspicious activity. visit branch or call 1800-xxx to unblock.,Bank,Bank_11
Flight fares dropped! DEL-PNQ from Rs.54. Book on ixigo before midnight.,Promo,Promo_16
"Class  shifted to room 5592, come fast",Personal,Hard_6
"Hi Chakradhar, unlock Rs.1428 off your first order at BigBasket with code NEW25.",Promo,Promo_7
Your Amazon membership expires soon. Renew now & save 50%: bit.ly/KoNOHk,Promo,Promo_9
Your order OD7173880082 from Zomato is arriving tomorrow. Keep INR 3081 ready for COD.,Delivery,Delivery_3
Ur A/c XX3076 is debited with Rs.15914 on 09-01-26. Info: UPI-Anthony. Bal: Rs.207042,Bank,Bank_2
Recharge with Rs.965 & get 40% extra talktime. Offer valid today only!,Promo,Promo_5
G-434654  is your Google verification code.,OTP,OTP_12
G-471950 is your Google verification code,OTP,OTP_12
your credit card xx2475 statement is ready. total due: rs.40246. min due: rs.2097. -sbi,Bank,Bank_5
Your Ola code: 305426 -TM,OTP,OTP_8
Items in your order history are back in stock at Myntra. Prices start Rs.504.,Promo,Promo_23
  Your Hotstar code: 982253,OTP,OTP_8
Coupon 7806 gives you free delivery on orders above Rs.1343. -Swiggy,Promo,Hard_1
Rs.38294 credited to A/c XX8765 on 02-01-26. Avl Bal: Rs.78620. -Kotak,Bank,Bank_1
You have 4370 reward points expiring on 04 Jul. Redeem on Flipkart.,Promo,Promo_20
Loved  your recent Swiggy order? Reorder in 1 tap and get 60% off today.,Promo,Promo_22
OTP-based  login was enabled for your A/c XX7864. Call ICICI Bank if this wasn't you.,Bank,Hard_2
  Your Myntra order OD5635322433 has been shipped via Ekart. Track: bit.ly/CBLRJG,Delivery,Delivery_0
"Hey, my new number is 09782240653. Save it! Meet at tonight?",Personal,Hard_4
Delhivery: Shipment OD2893781127 reached your city hub. Expected delivery: 04 Jul.,Delivery,Delivery_4
dear customer ur pnb account will be blocked! update kyc now: bit.ly/rubgqw,Spam,Hard_11
Your Myntra order OD2073351992 has been shipped via XpressBees. Track: bit.ly/ftdoeH -TM,Delivery,Delivery_0
Your order OD8167229132 from Amazon is arriving tomorrow. Keep Rs.1071 ready for COD. STOP to opt out,Delivery,Delivery_3
delivery attempt failed for order od7857705887. we will retry tomorrow. -bluedart,Delivery,Delivery_5
  Tap to verify: 460434. This code expires shortly.,OTP,Hard_9
  Enter 766558 to verify your mobile number for Meesho.,OTP,OTP_10
Your credit card XX8935 statement is ready. Total due: Rs.49957. Min due: Rs.1954. -SBI,Bank,Bank_5
Convert ur HDFC Bank card purchase of Rs.1322 into easy EMIs at 0% interest. Reply YES.,Promo,Promo_15
  Your Swiggy membership expires soon. Renew now & save 30%: bit.ly/wIWbgT,Promo,Promo_9
EMI of Rs.76654 due on 14-06-26 for loan A/c XX1317. Pay now to avoid charges. -Kotak STOP to opt out,Bank,Bank_4
EXCLUSIVE FOR YOU! BUY 1 GET 1 FREE AT MYNTRA. LIMITED PERIOD OFFER. VISIT BIT.LY/NMECIN,Promo,Promo_3
  Work from home! Earn Rs.2192261/month. Join: bit.ly/feBoqv,Spam,Hard_14
LOVED YOUR RECENT BIGBASKET ORDER? REORDER IN 1 TAP AND GET 30% OFF TODAY.,Promo,Promo_22
Ekart: Shipment OD7111419095 reached your city hub. Expected delivery: 01 Jul.,Delivery,Delivery_4
Enter 84928 to verify your mobile number for BOB.,OTP,OTP_10
Zomato:  Free delivery all weekend! Order your favourites now.,Promo,Promo_13
Ur FD of Rs.59147 matures on 07-03-26. Renew or withdraw via netbanking. -ICICI Bank,Bank,Bank_14
salary of rs.90192 credited to a/c xx8569. avl bal: rs.412795. -kotak,Bank,Bank_7
Your Myntra membership expires soon. Renew now & save 20%: bit.ly/BeaRTE,Promo,Promo_9
Your one time password is 239842 for Paytm. Please do not share it.,OTP,OTP_5
loved your recent myntra order? reorder in 1 tap and get 60% off today.,Promo,Promo_22
Your  Hotstar plan renews on 02 Jul at Rs.982. Upgrade to 4K for Rs.893/month.,Promo,Promo_18
Flipkart: Your cart misses you! Complete purchase now & get 20% off. bit.ly/ZwVzHi,Promo,Promo_4
Salary of INR 97498 credited to A/c XX7163. Avl Bal: INR 179021. -Kotak,Bank,Bank_7
Missed our shows? Come back to Hotstar at 50% off for 3 months. Resubscribe: bit.ly/GFNkmW -TM,Promo,Promo_19
Rs.1221 cashback credited to your Paytm wallet. Use on your next order.,Promo,Promo_21
Your order OD6185661972 from Zomato is arriving tomorrow. Keep Rs.682 ready for COD.,Delivery,Delivery_3
Enter 924821 to verify your mobile number for HDFC Bank,OTP,OTP_10
KYC update pending for A/c XX9885. Please visit your nearest SBI branch by 21-03-26 to avoid restrictions.,Bank,Bank_12
898180 is your Uber security code. Anyone asking for it is a scammer.,OTP,OTP_9
RECHARGE WITH RS.1559 & GET 10% EXTRA TALKTIME. OFFER VALID TODAY ONLY!,Promo,Promo_5
Tap to verify: 876866. This code expires shortly.,OTP,Hard_9
306760 - use this code to sign in to Zomato. Never share it with anyone. T&C apply,OTP,OTP_7
  OTP-based login was enabled for your A/c XX9615. Call SBI if this wasn't you.,Bank,Hard_2
Last day! BigBasket clearance sale ends tonight. Up to 30% off sitewide.,Promo,Promo_8
"Class shifted to room 2539, come fast",Personal,Hard_6
KYC update pending for A/c XX4395. Please visit your nearest PNB branch by 21-04-26 to avoid restrictions. STOP to opt out,Bank,Bank_12
Order OD7491285321 packed and ready! Expected dispatch by 01 Jul. -Myntra,Delivery,Delivery_8
Your Uber code: 5825,OTP,Hard_8
Your credit card XX3079 statement is ready. Total due: Rs.82412. Min due: Rs.1203. -PNB,Bank,Bank_5
YOU HAVE 3521 REWARD POINTS EXPIRING ON 06 JUL. REDEEM ON SWIGGY.,Promo,Promo_20
USE CODE 4061 AT CHECKOUT FOR 50% OFF AT MYNTRA!,Promo,Hard_0
your one time password is 759902 for hotstar. please do not share it.,OTP,OTP_5
KYC UPDATE PENDING FOR A/C XX2106. PLEASE VISIT YOUR NEAREST KOTAK BRANCH BY 12-02-26 TO AVOID RESTRICTIONS.,Bank,Bank_12
Flight fares dropped! BLR-MAA from Rs.1922 Book on ixigo before midnight,Promo,Promo_16
You have 3181 reward points expiring on 06 Jul. Redeem on Meesho.,Promo,Promo_20
Your A/c XX4890 is debited with Rs.65900 on 25-03-26. Info: UPI-Ekapad. Bal: Rs.440966,Bank,Bank_2
G-856302  is your Google verification code.,OTP,OTP_12
UPI payment of Rs.50068 to Faqid successful. UPI Ref: 696534684758. -SBI STOP to opt out,Bank,Bank_6
901713 - use this code to sign in to Meesho. Never share it with anyone.,OTP,OTP_7
Ur Uber code: 9537,OTP,Hard_8
IRCTC: Special trains added for festive season. Book early & save up to 30%.,Promo,Promo_17
862638 is your Ola security code. Anyone asking for it is a scammer.,OTP,OTP_9
Use code 7636 at checkout for 50% off at Myntra!,Promo,Hard_0
Your OTP is 440600. Use it to verify your Paytm account. Expires in 15 min.,OTP,OTP_1
  OTP: 320620 for txn of Rs.9898 at Zomato. Do not share. -HDFC Bank,OTP,OTP_2
Low balance alert: A/c XX9387 balance is Rs.134842. Maintain min balance to avoid charges.,Bank,Bank_10
low balance alert: a/c xx1954 balance is rs.379970. maintain min balance to avoid charges.,Bank,Bank_10
Delivery attempt failed for order OD5785899982. We will retry tomorrow. -Ekart,Delivery,Delivery_5
Cheque no. 403060357907 for Rs.14594 has been cleared from A/c XX2843. -Kotak,Bank,Bank_8
Your  Axis Bank debit card XX1582 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
Zomato: Free delivery all weekend! Order your favourites now.,Promo,Promo_13
Loved your recent Amazon order? Reorder in 1 tap and get 10% off today.,Promo,Promo_22
your credit card xx3184 statement is ready. total due: rs.43801. min due: rs.2856. -pnb,Bank,Bank_5
YOUR SIM WILL BE DEACTIVATED IN 24HRS. VERIFY AADHAAR: BIT.LY/RDHTMQ,Spam,Hard_13
UPI payment of Rs.4617 to Anamika successful. UPI Ref: 657961569789. -BOB,Bank,Bank_6
BOB: 579121 is your login OTP. It expires in 5 minutes.,OTP,OTP_6
G-227333 IS YOUR GOOGLE VERIFICATION CODE.,OTP,OTP_12
"Bro send me Rs.3045 on gpay, will return by 06 Jul",Personal,Hard_5
convert your axis bank card purchase of rs.1864 into easy emis at 0% interest. reply yes.,Promo,Promo_15
346194 - use this to sign in. Never share this code with anyone.,OTP,Hard_7
Convert your PNB card purchase of Rs.1447 into easy EMIs at 0% interest. Reply YES.,Promo,Promo_15
Your account statement for August is available. Download from the HDFC Bank app.,Bank,Bank_16
IRCTC: Special trains added for festive season. Book early & save up to 80%.,Promo,Promo_17
  Your A/c XX4985 is debited with Rs.98370 on 10-03-26. Info: UPI-Ucchal. Bal: Rs.97345,Bank,Bank_2
"hi mohammed, unlock rs.1251 off your first order at bigbasket with code new51.",Promo,Promo_7
Your  account statement for August is available. Download from the Axis Bank app.,Bank,Bank_16
  401978 is your Ola security code. Anyone asking for it is a scammer.,OTP,OTP_9
Your SBI debit card XX4295 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
Pre-approved! Get a BOB credit card with Rs.132207 limit. Zero joining fee. Apply: bit.ly/XRVees,Promo,Promo_14
Use 525380 to complete your BigBasket registration. Valid till 15 mins.,OTP,OTP_4
Your Uber code: 9136,OTP,Hard_8
ALERT: Rs.68756 withdrawn from ATM using card XX1161 on 05-06-26. Bal: Rs.235479. -ICICI Bank,Bank,Bank_3
Your BigBasket order OD7185523074 has been shipped via XpressBees. Track: bit.ly/RflnzJ,Delivery,Delivery_0
Out for delivery: Ur BigBasket package OD3058777208 will arrive today by 9 PM. -XpressBees,Delivery,Delivery_1
Tap to verify: 427082. This code expires shortly.,OTP,Hard_9
789197 - use this to sign in. Never share this code with anyone.,OTP,Hard_7
ENTER 239075 TO VERIFY YOUR MOBILE NUMBER FOR KOTAK.,OTP,OTP_10
Recharge with Rs.211 & get 40% extra talktime. Offer valid today only!,Promo,Promo_5
"Never share your OTP, PIN or CVV BOB never asks for these Stay safe",Bank,Hard_3
Rs.477 cashback credited to your Amazon Pay wallet. Use on your next order.,Promo,Promo_21
Items in your order history are back in stock at Swiggy. Prices start Rs.1048.,Promo,Promo_23
Your FD of INR 75548 matures on 24-04-26. Renew or withdraw via netbanking. -SBI,Bank,Bank_14
MEGA  SALE! Get 40% OFF on all products at Meesho. Shop now: bit.ly/tlnrOt T&C apply.,Promo,Promo_0
Use 235688 to complete your ICICI Bank registration. Valid till 10 mins.,OTP,OTP_4
KYC update pending for A/c XX7898. Please visit your nearest ICICI Bank branch by 01-04-26 to avoid restrictions.,Bank,Bank_12
Your credit card XX1885 statement is ready Total due: Rs.20194 Min due: Rs.1464 -PNB,Bank,Bank_5
642277 is ur BOB security code. Anyone asking for it is a scammer.,OTP,OTP_9
CHEQUE NO. 163737457482 FOR RS.82757 HAS BEEN CLEARED FROM A/C XX5145. -SBI,Bank,Bank_8
Your OTP is 418061 Use it to verify your Paytm account Expires in 15 min,OTP,OTP_1
Your  BOB debit card XX8524 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
Rs.980  cashback credited to your PhonePe wallet. Use on your next order.,Promo,Promo_21
753368 is ur OTP for Netflix login. Valid for 15 minutes. Do not share with anyone.,OTP,OTP_0
BLUEDART: SHIPMENT OD9243154717 REACHED YOUR CITY HUB. EXPECTED DELIVERY: 04 JUL.,Delivery,Delivery_4
Delivery attempt failed for order OD4629936392 We will retry tomorrow -Ekart,Delivery,Delivery_5
Pay Rs.534 on delivery for order OD601279329. -DTDC,Delivery,Hard_10
Your A/c XX9387 is debited with Rs.63947 on 25-04-26. Info: UPI-Vedhika. Bal: Rs.303113 -TM,Bank,Bank_2
Your one time password is 611902 for Meesho. Please do not share it.,OTP,OTP_5
Dear  customer ur HDFC Bank account will be blocked! Update KYC now: bit.ly/ldngKS,Spam,Hard_11
Your return pickup for order OD5218423671 is scheduled on 06 Jul. Keep the item ready. -Amazon,Delivery,Delivery_7
Congratulations! You won INR 131550 in lucky draw. Claim: bit.ly/tIZZwe,Spam,Hard_12
  OTP for delivery of order OD9539480102 is 8764. Share only with the delivery agent. -BlueDart,Delivery,Delivery_9
Your Uber code: 8400,OTP,Hard_8
Recharge with Rs.1872 & get 40% extra talktime. Offer valid today only!,Promo,Promo_5
Salary of INR 83744 credited to A/c XX6982. Avl Bal: INR 217141. -PNB,Bank,Bank_7
Pre-approved! Get a Kotak credit card with Rs.230638 limit. Zero joining fee. Apply: bit.ly/UqsjIQ,Promo,Promo_14
Congratulations! You won Rs.50325 in lucky draw Claim: bitly/XeGnxc,Spam,Hard_12
Rs.12674 credited to A/c XX8052 on 20-05-26. Avl Bal: Rs.355330. -ICICI Bank,Bank,Bank_1
BlueDart: Shipment OD3887211993 reached your city hub. Expected delivery: 03 Jul.,Delivery,Delivery_4
Delhivery: Shipment OD9619746251 reached your city hub. Expected delivery: 06 Jul.,Delivery,Delivery_4
Your  SIM will be deactivated in 24hrs. Verify Aadhaar: bit.ly/MgvSrZ,Spam,Hard_13
OTP for delivery of order OD4053721702 is 1602. Share only with the delivery agent. -DTDC,Delivery,Delivery_9
Your one time password is 266642 for HDFC Bank Please do not share it,OTP,OTP_5
Enter 968948 to verify your mobile number for Swiggy.,OTP,OTP_10
YOUR UBER CODE: 2445,OTP,Hard_8
Confirmation code 340967 for IRCTC Keep it private,OTP,OTP_11
Your SBI debit card XX6626 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
Items in your order history are back in stock at Meesho. Prices start Rs.571.,Promo,Promo_23
Rs.1997  cashback credited to your Paytm wallet. Use on your next order.,Promo,Promo_21
Cheque no. 275962637581 for Rs.31077 has been cleared from A/c XX3238. -PNB,Bank,Bank_8
UPI payment of Rs.33622 to Gautami successful. UPI Ref: 539208793254. -HDFC Bank,Bank,Bank_6
Your Kotak debit card XX3724 has been blocked due to suspicious activity Visit branch or call 1800-XXX to unblock,Bank,Bank_11
"Class shifted to room 9706, come fast",Personal,Hard_6
MEGA  SALE! Get 80% OFF on all products at Zomato. Shop now: bit.ly/HlhwWd T&C apply.,Promo,Promo_0
XpressBees: Shipment OD1644784788 reached your city hub. Expected delivery: 02 Jul.,Delivery,Delivery_4
Salary of Rs.62231 credited to A/c XX4852. Avl Bal: Rs.304796. -SBI STOP to opt out,Bank,Bank_7
IRCTC: Special trains added for festive season. Book early & save up to 50%.,Promo,Promo_17
"Hi Jasmit, unlock Rs.121 off your first order at Flipkart with code NEW17.",Promo,Promo_7
"Class  shifted to room 2513, come fast",Personal,Hard_6
EMI  of Rs.53290 due on 05-06-26 for loan A/c XX6158. Pay now to avoid charges. -PNB,Bank,Bank_4
Dear customer ur HDFC Bank account will be blocked! Update KYC now: bitly/ZIOzqW,Spam,Hard_11
  Congratulations! You won Rs.874622 in lucky draw. Claim: bit.ly/crGySf,Spam,Hard_12
Exclusive for you! Buy 1 Get 1 FREE at Amazon. Limited period offer. Visit bit.ly/jzwFMH,Promo,Promo_3
Last day! Flipkart clearance sale ends tonight. Up to 60% off sitewide.,Promo,Promo_8
  Confirmation code 271943 for SBI. Keep it private.,OTP,OTP_11
"Bro send me INR 359 on gpay, will return by 02 Jul",Personal,Hard_5
Interest of Rs.6488 credited to your FD A/c XX3859. -ICICI Bank,Bank,Bank_9
Auto-pay of Rs.46106 to Inaya is scheduled on 14-04-26 from A/c XX5205. Ensure sufficient balance.,Bank,Bank_13
Your Uber code: 1005,OTP,Hard_8
Ur FD of Rs.50602 matures on 26-03-26. Renew or withdraw via netbanking. -Axis Bank,Bank,Bank_14
"Class shifted to room 2721, come fast",Personal,Hard_6
"Never share your OTP, PIN or CVV. Kotak never asks for these. Stay safe. T&C apply",Bank,Hard_3
Congratulations! You won Rs.1977193 in lucky draw Claim: bitly/sEglAt,Spam,Hard_12
11646 - use this code to sign in to Zomato. Never share it with anyone.,OTP,OTP_7
Your BOB code: 892515,OTP,OTP_8
Rs.47626 debited from A/c XX9203 on 22-05-26 to Kavya Avl Bal: Rs.138070 -Kotak,Bank,Bank_0
Rs.56585 credited to A/c XX4746 on 08-02-26. Avl Bal: Rs.53048. -Kotak,Bank,Bank_1
Your A/c XX7897 is debited with Rs.54879 on 17-06-26. Info: UPI-Zehaan. Bal: Rs.438281,Bank,Bank_2
Exclusive for you! Buy 1 Get 1 FREE at Swiggy Limited period offer Visit bitly/zbXZsU,Promo,Promo_3
"Your SBI health insurance renewal is due 05 Jul. Renew online, save 70% on premium.",Promo,Promo_24
  10049 - use this code to sign in to HDFC Bank. Never share it with anyone.,OTP,OTP_7
